iter	Passed	Remaining
0	76	22921
1	149	22315
2	219	21745
3	286	21173
4	352	20789
5	426	20901
6	494	20710
7	559	20418
8	625	20224
9	687	19951
10	758	19940
11	822	19745
12	891	19680
13	958	19580
14	1020	19380
15	1087	19295
16	1159	19298
17	1226	19213
18	1294	19141
19	1362	19077
20	1428	18976
21	1498	18934
22	1565	18859
23	1628	18729
24	1687	18567
25	1756	18510
26	1821	18422
27	1887	18334
28	1954	18262
29	2025	18226
30	2088	18125
31	2157	18073
32	2223	17987
33	2285	17878
34	2355	17833
35	2417	17731
36	2487	17678
37	2551	17592
38	2619	17530
39	2680	17423
40	2751	17379
41	2818	17314
42	2883	17235
43	2949	17162
44	3014	17083
45	3085	17038
46	3148	16948
47	3215	16881
48	3293	16869
49	3360	16802
50	3434	16769
51	3503	16709
52	3576	16666
53	3648	16621
54	3721	16576
55	3792	16523
56	3872	16510
57	3937	16428
58	4005	16359
59	4073	16295
60	4139	16220
61	4220	16202
62	4286	16123
63	4344	16020
64	4403	15919
65	4466	15836
66	4531	15758
67	4594	15674
68	4663	15611
69	4727	15532
70	4790	15450
71	4856	15377
72	4924	15312
73	4980	15209
74	5040	15120
75	5099	15030
76	5165	14959
77	5232	14892
78	5302	14832
79	5374	14778
80	5443	14718
81	5505	14635
82	5565	14549
83	5627	14471
84	5692	14397
85	5764	14345
86	5831	14276
87	5909	14236
88	5977	14171
89	6046	14107
90	6118	14051
91	6185	13984
92	6247	13905
93	6313	13835
94	6386	13780
95	6453	13713
96	6524	13653
97	6582	13567
98	6644	13490
99	6708	13417
100	6770	13339
101	6831	13260
102	6896	13189
103	6967	13131
104	7029	13055
105	7096	12988
106	7157	12909
107	7242	12875
108	7314	12816
109	7384	12755
110	7472	12722
111	7549	12671
112	7619	12609
113	7682	12535
114	7744	12458
115	7809	12387
116	7870	12310
117	7932	12234
118	8008	12180
119	8109	12164
120	8176	12095
121	8245	12030
122	8311	11960
123	8375	11887
124	8437	11812
125	8501	11740
126	8574	11680
127	8638	11607
128	8703	11537
129	8769	11467
130	8836	11399
131	8897	11323
132	8961	11252
133	9030	11187
134	9087	11106
135	9150	11034
136	9222	10972
137	9295	10911
138	9363	10845
139	9429	10776
140	9495	10707
141	9560	10638
142	9624	10567
143	9687	10495
144	9746	10418
145	9810	10347
146	9883	10287
147	9953	10222
148	10015	10149
149	10086	10086
150	10152	10018
151	10216	9947
152	10281	9878
153	10352	9815
154	10416	9744
155	10490	9683
156	10556	9615
157	10624	9548
158	10691	9481
159	10750	9407
160	10819	9341
161	10883	9271
162	10950	9203
163	11009	9130
164	11074	9060
165	11140	8993
166	11210	8927
167	11272	8857
168	11345	8794
169	11416	8730
170	11480	8661
171	11538	8586
172	11601	8516
173	11666	8448
174	11728	8377
175	11803	8316
176	11863	8244
177	11932	8178
178	12007	8117
179	12074	8049
180	12140	7981
181	12211	7917
182	12282	7853
183	12354	7788
184	12433	7728
185	12496	7659
186	12561	7590
187	12615	7515
188	12678	7446
189	12743	7377
190	12804	7307
191	12868	7238
192	12937	7172
193	13006	7106
194	13076	7041
195	13138	6971
196	13201	6902
197	13260	6831
198	13330	6765
199	13396	6698
200	13465	6632
201	13526	6562
202	13588	6493
203	13662	6429
204	13739	6366
205	13802	6298
206	13874	6233
207	13943	6167
208	14016	6103
209	14077	6033
210	14141	5964
211	14208	5897
212	14269	5828
213	14325	5757
214	14379	5685
215	14452	5620
216	14518	5553
217	14587	5487
218	14661	5422
219	14726	5354
220	14794	5288
221	14852	5218
222	14910	5148
223	14983	5083
224	15045	5015
225	15111	4948
226	15171	4879
227	15237	4811
228	15302	4744
229	15374	4679
230	15437	4611
231	15496	4541
232	15554	4472
233	15615	4404
234	15686	4338
235	15747	4270
236	15807	4202
237	15880	4136
238	15941	4068
239	16003	4000
240	16069	3934
241	16130	3865
242	16197	3799
243	16257	3731
244	16332	3666
245	16395	3599
246	16453	3530
247	16516	3463
248	16587	3397
249	16647	3329
250	16710	3262
251	16779	3196
252	16852	3130
253	16934	3066
254	16990	2998
255	17060	2932
256	17122	2864
257	17195	2799
258	17257	2731
259	17325	2665
260	17393	2599
261	17457	2532
262	17522	2465
263	17588	2398
264	17647	2330
265	17717	2264
266	17781	2197
267	17844	2130
268	17911	2064
269	17976	1997
270	18041	1930
271	18105	1863
272	18163	1796
273	18224	1729
274	18291	1662
275	18359	1596
276	18439	1531
277	18512	1465
278	18575	1398
279	18635	1331
280	18698	1264
281	18762	1197
282	18828	1131
283	18895	1064
284	18960	997
285	19015	930
286	19079	864
287	19146	797
288	19206	731
289	19268	664
290	19337	598
291	19404	531
292	19477	465
293	19544	398
294	19626	332
295	19696	266
296	19771	199
297	19837	133
298	19914	66
299	19984	0
